=========================================
SCOS 2.0 DEDUPLICATED PRODUCT CATALOG PREVIEW
=========================================
Source file: C:\Users\User\Downloads\SKU MRPs as of 19th May.xlsx
Total Unique Product Variants: 1178
=========================================

CATEGORY: Bedding
------------------------------------------------------------
  SKU: SC-STIVDUVETCVR-S-90x60          | Line: bedshee      | ASIN: B0DDCFTRY3   | FK SKU: SC-F-STIVDUVETCVR-S-90x60 | FSN: None               | MRP: 2699.0   | Name: Sateen Duvet Cover
  SKU: SC-STIVFTDSHEET-D-72x48          | Line: bedshee      | ASIN: B0DDCFYJPW   | FK SKU: SC-F-STIVFTDSHEET-D-72x48 | FSN: None               | MRP: 2449.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-D-75x48          | Line: bedshee      | ASIN: B0DDCHKBPM   | FK SKU: SC-F-STIVFTDSHEET-D-75x48 | FSN: None               | MRP: 2449.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-D-78x48          | Line: bedshee      | ASIN: B0DDCFZH4T   | FK SKU: SC-F-STIVFTDSHEET-D-78x48 | FSN: None               | MRP: 2449.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-K-72x72          | Line: bedshee      | ASIN: B0DDCFW2KR   | FK SKU: SC-F-STIVFTDSHEET-K-72x72 | FSN: None               | MRP: 2999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-K-75x72          | Line: bedshee      | ASIN: B0DDCFPZ4T   | FK SKU: SC-F-STIVFTDSHEET-K-75x72 | FSN: None               | MRP: 2999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-K-78x72          | Line: bedshee      | ASIN: B0DDCDXR8J   | FK SKU: SC-F-STIVFTDSHEET-K-78x72 | FSN: None               | MRP: 2999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-Q-72x60          | Line: bedshee      | ASIN: B0DDCFYSZX   | FK SKU: SC-F-STIVFTDSHEET-Q-72x60 | FSN: None               | MRP: 2649.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-Q-75x60          | Line: bedshee      | ASIN: B0DDCG59NJ   | FK SKU: SC-F-STIVFTDSHEET-Q-75x60 | FSN: None               | MRP: 2649.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-Q-78x60          | Line: bedshee      | ASIN: B0DDCJ4YQG   | FK SKU: SC-F-STIVFTDSHEET-Q-78x60 | FSN: None               | MRP: 2649.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-S-72x36          | Line: bedshee      | ASIN: B0DDCGZW2S   | FK SKU: SC-F-STIVFTDSHEET-S-72x36 | FSN: None               | MRP: 1999.0   | Name: Sateen Fitted Sheets
  SKU: SC-STIVFTDSHEET-S-75x36          | Line: bedshee      | ASIN: B0DDCFMSD4   | FK SKU: SC-F-STIVFTDSHEET-S-75x36 | FSN: None               | MRP: 1999.0   | Name: Sateen Fitted Sheets
